Date,Time,Battery Voltage(V),Battery Current(mA),Battery Power(W),Temperature(*C),Pressure(hPa),Humidity(%),Gas(kOhms),Altitude(m),PM > 0.3(Particles/0.1L),PM > 0.5(Particles/0.1L),PM > 1.0(Particles/0.1L),PM > 2.5(Particles/0.1L),PM > 5.0(Particles/0.1L),PM > 10.0(Particles/0.1L),PM1.0(ug/m3),PM2.5(ug/m3),PM10.0(ug/m3),AQI(PM2.5),AQI(PM10.0)
1/1/2000 Sat.,01:32:59,6.32,87.10,0.55,27.26,1001.91,17.80,2124.10,94.84,1002,235,44,4,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:33:00,6.32,87.00,0.55,27.27,1001.91,17.79,2107.34,94.84,1002,235,44,4,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:33:00,6.28,106.70,0.67,27.29,1001.91,17.78,2127.49,94.51,1002,235,44,4,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:33:01,6.32,87.80,0.55,27.26,1001.93,17.76,2112.34,94.84,954,215,40,4,0,0,3,5,5,20.83,4.63
1/1/2000 Sat.,01:33:02,6.32,88.00,0.56,27.27,1001.91,17.76,2117.37,94.84,954,215,40,4,0,0,3,6,6,25.00,5.56
1/1/2000 Sat.,01:33:03,6.28,105.20,0.66,27.29,1001.93,17.76,2114.01,94.68,954,215,40,4,0,0,3,6,6,25.00,5.56
1/1/2000 Sat.,01:33:04,6.32,86.80,0.55,27.27,1001.91,17.75,2109.00,94.68,999,224,37,4,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:33:05,6.32,87.70,0.55,27.28,1001.93,17.76,2114.01,94.51,999,224,37,4,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:33:06,6.28,104.70,0.66,27.30,1001.93,17.76,2112.34,94.51,999,224,37,4,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:33:07,6.31,85.40,0.54,27.27,1001.91,17.75,2110.67,94.68,1020,227,33,4,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:33:07,6.31,87.40,0.55,27.28,1001.93,17.75,2120.73,94.51,1020,227,33,4,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:33:08,6.28,106.50,0.67,27.30,1001.91,17.75,2104.02,94.51,1020,227,33,4,0,0,4,7,7,29.17,6.48
1/1/2000 Sat.,01:33:09,6.31,87.30,0.55,27.28,1001.93,17.74,2090.84,94.68,1020,221,35,4,0,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:10,6.30,88.50,0.56,27.28,1001.93,17.76,2087.57,94.51,1020,221,35,4,0,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:11,6.28,105.10,0.66,27.30,1001.91,17.75,2090.84,94.51,1020,221,35,4,0,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:12,6.32,86.10,0.54,27.27,1001.93,17.74,2082.68,94.84,927,203,35,5,0,0,3,5,5,20.83,4.63
1/1/2000 Sat.,01:33:13,6.31,86.30,0.54,27.28,1001.91,17.75,2089.20,94.51,927,203,35,5,0,0,3,5,5,20.83,4.63
1/1/2000 Sat.,01:33:13,6.28,102.20,0.64,27.31,1001.91,17.74,2081.06,94.68,927,203,35,5,0,0,3,5,5,20.83,4.63
1/1/2000 Sat.,01:33:14,6.32,86.70,0.55,27.28,1001.93,17.74,2079.44,94.84,891,192,31,5,0,0,3,5,5,20.83,4.63
1/1/2000 Sat.,01:33:15,6.31,81.90,0.52,27.29,1001.91,17.74,2077.82,94.68,891,192,31,5,0,0,3,5,5,20.83,4.63
1/1/2000 Sat.,01:33:16,6.27,102.10,0.64,27.31,1001.91,17.74,2068.16,94.68,891,192,31,5,0,0,3,5,5,20.83,4.63
1/1/2000 Sat.,01:33:17,6.31,86.60,0.55,27.28,1001.91,17.74,2060.18,94.84,846,181,25,4,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:33:18,6.32,86.10,0.54,27.29,1001.93,17.74,2064.96,94.68,846,181,25,4,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:33:19,6.27,98.80,0.62,27.31,1001.96,17.73,2071.37,94.68,846,181,25,4,0,0,3,4,4,16.67,3.70
1/1/2000 Sat.,01:33:19,6.31,84.30,0.53,27.29,1001.91,17.73,2057.01,94.84,951,208,29,4,0,0,3,5,5,20.83,4.63
1/1/2000 Sat.,01:33:20,6.31,84.60,0.53,27.29,1001.93,17.73,2038.17,94.68,951,208,29,4,0,0,3,5,5,20.83,4.63
1/1/2000 Sat.,01:33:21,6.27,94.40,0.59,27.31,1001.95,17.74,2019.67,94.68,951,208,29,4,0,0,3,5,5,20.83,4.63
1/1/2000 Sat.,01:33:22,6.32,83.20,0.53,27.29,1001.91,17.74,2001.50,94.51,978,219,27,5,1,0,4,5,7,20.83,6.48
1/1/2000 Sat.,01:33:23,6.32,87.60,0.55,27.30,1001.91,17.75,1973.39,94.68,978,219,27,5,1,0,4,5,7,20.83,6.48
1/1/2000 Sat.,01:33:24,6.27,104.70,0.66,27.32,1001.93,17.76,1979.24,94.68,978,219,27,5,1,0,4,5,7,20.83,6.48
1/1/2000 Sat.,01:33:25,6.32,86.10,0.54,27.30,1001.91,17.76,1948.91,94.68,1002,224,25,2,1,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:25,6.32,86.50,0.55,27.31,1001.89,17.77,1947.48,94.68,1002,224,25,2,1,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:26,6.27,101.50,0.64,27.33,1001.95,17.78,1941.82,94.84,1002,224,25,2,1,0,4,5,5,20.83,4.63
1/1/2000 Sat.,01:33:27,6.31,80.00,0.50,27.31,1001.89,17.77,1941.82,94.68,1002,216,24,2,1,0,4,4,5,16.67,4.63
1/1/2000 Sat.,01:33:28,6.31,76.40,0.48,27.32,1001.93,17.77,1923.63,94.68,1002,216,24,2,1,0,4,4,5,16.67,4.63
1/1/2000 Sat.,01:33:29,6.27,102.40,0.64,27.34,1001.93,17.79,1931.98,94.68,1002,216,24,2,1,0,4,4,5,16.67,4.63
